iter	Passed	Remaining
410	3761	5390
411	3768	5378
412	3777	5369
413	3785	5358
414	3792	5346
415	3799	5334
416	3807	5323
417	3819	5317
418	3828	5309
419	3839	5302
420	3847	5291
421	3857	5283
422	3867	5274
423	3878	5268
424	3887	5259
425	3894	5247
426	3904	5239
427	3913	5230
428	3924	5223
429	3934	5215
430	3944	5207
431	3956	5202
432	3964	5191
433	3972	5180
434	3979	5169
435	3987	5158
436	3994	5146
437	4002	5135
438	4011	5126
439	4019	5115
440	4026	5103
441	4035	5094
442	4044	5085
443	4052	5074
444	4059	5063
445	4068	5053
446	4076	5042
447	4083	5031
448	4091	5020
449	4098	5009
450	4105	4998
451	4114	4988
452	4123	4978
453	4130	4967
454	4138	4957
455	4147	4947
456	4155	4937
457	4166	4931
458	4176	4923
459	4192	4921
460	4202	4913
461	4211	4904
462	4219	4894
463	4227	4883
464	4234	4872
465	4243	4862
466	4250	4851
467	4257	4840
468	4264	4828
469	4274	4820
470	4283	4811
471	4290	4799
472	4302	4793
473	4310	4783
474	4318	4773
475	4326	4762
476	4334	4752
477	4341	4741
478	4350	4731
479	4357	4720
480	4367	4712
481	4376	4703
482	4384	4693
483	4393	4683
484	4401	4673
485	4409	4663
486	4420	4656
487	4428	4646
488	4436	4635
489	4448	4629
490	4455	4618
491	4464	4609
492	4472	4599
493	4480	4589
494	4488	4578
495	4498	4570
496	4507	4562
497	4515	4552
498	4523	4542
499	4532	4532
500	4539	4521
501	4547	4511
502	4558	4503
503	4566	4493
504	4573	4482
505	4582	4474
506	4590	4463
507	4598	4453
508	4605	4442
509	4613	4432
510	4621	4422
511	4629	4412
512	4638	4403
513	4645	4392
514	4657	4386
515	4669	4379
516	4679	4371
517	4696	4370
518	4709	4364
519	4720	4357
520	4730	4349
521	4741	4341
522	4751	4333
523	4763	4327
524	4775	4320
525	4783	4310
526	4790	4299
527	4797	4288
528	4809	4282
529	4817	4272
530	4825	4261
531	4835	4253
532	4842	4243
533	4850	4233
534	4860	4224
535	4868	4214
536	4876	4204
537	4888	4197
538	4896	4188
539	4905	4179
540	4914	4169
541	4922	4159
542	4929	4148
543	4937	4138
544	4950	4133
545	4959	4123
546	4968	4114
547	4979	4106
548	4987	4097
549	4994	4086
550	5001	4075
551	5012	4067
552	5019	4057
553	5028	4048
554	5037	4039
555	5046	4030
556	5055	4020
557	5062	4010
558	5078	4006
559	5088	3997
560	5095	3987
561	5105	3979
562	5114	3970
563	5124	3961
564	5132	3951
565	5145	3945
566	5154	3936
567	5162	3926
568	5171	3917
569	5179	3907
570	5192	3900
571	5200	3891
572	5208	3881
573	5215	3871
574	5223	3860
575	5231	3851
576	5239	3841
577	5251	3834
578	5258	3823
579	5270	3816
580	5277	3806
581	5285	3796
582	5293	3786
583	5304	3778
584	5311	3767
585	5321	3759
586	5330	3750
587	5337	3740
588	5345	3729
589	5353	3719
590	5362	3711
591	5370	3701
592	5377	3690
593	5385	3681
594	5394	3671
595	5401	3661
596	5409	3651
597	5417	3641
598	5429	3634
599	5436	3624
600	5446	3615
601	5453	3605
602	5461	3595
603	5469	3586
604	5477	3576
605	5486	3567
606	5494	3557
607	5505	3549
608	5512	3539
609	5524	3531
610	5533	3523
611	5547	3516
612	5555	3507
613	5562	3497
614	5572	3488
615	5578	3477
616	5586	3468
617	5593	3457
618	5602	3448
619	5612	3439
620	5620	3429
621	5628	3420
622	5638	3411
623	5646	3402
624	5654	3392
625	5662	3383
626	5671	3373
627	5679	3364
628	5687	3354
629	5696	3345
630	5706	3336
631	5717	3329
632	5727	3320
633	5739	3313
634	5753	3307
635	5765	3299
636	5774	3290
637	5785	3282
638	5793	3272
639	5802	3264
640	5813	3255
641	5822	3246
642	5832	3238
643	5842	3229
644	5854	3222
645	5861	3212
646	5869	3202
647	5881	3194
648	5888	3184
649	5895	3174
650	5903	3165
651	5916	3158
652	5927	3149
653	5944	3144
654	5955	3136
655	5964	3127
656	5973	3118
657	5980	3108
658	5990	3099
659	5999	3090
660	6010	3082
661	6023	3075
662	6056	3078
663	6086	3080
664	6116	3081
665	6127	3072
666	6141	3066
667	6160	3061
668	6168	3051
669	6180	3044
670	6189	3034
671	6200	3026
672	6207	3016
673	6215	3006
674	6222	2995
675	6229	2985
676	6238	2976
677	6247	2966
678	6255	2957
679	6262	2947
680	6269	2937
681	6277	2926
682	6283	2916
683	6290	2906
684	6297	2896
685	6309	2888
686	6317	2878
687	6328	2870
688	6338	2860
689	6347	2851
690	6355	2841
691	6364	2832
692	6372	2822
693	6379	2812
694	6390	2804
695	6400	2795
696	6408	2785
697	6416	2776
698	6424	2766
699	6433	2757
700	6441	2747
701	6449	2737
702	6458	2728
703	6467	2719
704	6477	2710
705	6485	2700
