iter	Logloss
664	0.4234972557
665	0.4234830959
666	0.4234495337
667	0.4234193633
668	0.4233941513
669	0.4233730873
670	0.4233490704
671	0.4233424686
672	0.4233376344
673	0.4233270829
674	0.4232829642
675	0.423269845
676	0.4232521144
677	0.423221261
678	0.423202752
679	0.4231928228
680	0.4231799114
681	0.4231632381
682	0.423160098
683	0.4231394289
684	0.4231219427
685	0.4231093538
686	0.4230905108
687	0.4230773829
688	0.4230597285
689	0.4230405336
690	0.4230215764
691	0.4229924401
692	0.422967579
693	0.4229463172
694	0.4229420075
695	0.4229327563
696	0.4229085649
697	0.4228725973
698	0.422868246
699	0.4228406372
700	0.4228323437
701	0.4228199314
702	0.4228021644
703	0.4227876936
704	0.4227760568
705	0.4227533982
706	0.4227522591
707	0.4227360668
708	0.4227175932
709	0.422697926
710	0.4226705649
711	0.4226487689
712	0.4226333312
713	0.4226212352
714	0.4226044459
715	0.4225856505
716	0.4225713329
717	0.4225589348
718	0.4225325612
719	0.4225041739
720	0.4224838807
721	0.4224638339
722	0.4224577838
723	0.4224380718
724	0.4224254957
725	0.4224209159
726	0.4223976886
727	0.4223645861
728	0.422344566
729	0.4223308056
730	0.4223025652
731	0.4222906688
732	0.4222776007
733	0.4222771286
734	0.4222602374
735	0.4222407615
736	0.4222252843
737	0.4222101578
738	0.4221935108
739	0.4221758503
740	0.4221595683
741	0.4221245416
742	0.4220986431
743	0.422081581
744	0.4220628767
745	0.4220439917
746	0.4220184495
747	0.4219909212
748	0.4219766192
749	0.4219598116
750	0.4219473889
751	0.4219335939
752	0.4218958731
753	0.4218794573
754	0.4218750045
755	0.4218655416
756	0.4218401981
757	0.4218269384
758	0.421799313
759	0.4217810282
760	0.4217662318
761	0.421749996
762	0.4217228562
763	0.4217057828
764	0.4216870465
765	0.4216661256
766	0.4216527647
767	0.4216306933
768	0.4216009893
769	0.4215766962
770	0.4215555178
771	0.4215236278
772	0.4215073616
773	0.4214800973
774	0.4214569289
775	0.4214248736
776	0.4214035265
777	0.4213882904
778	0.4213523435
779	0.4213388691
780	0.4213202209
781	0.4212872172
782	0.4212779772
783	0.4212486419
784	0.4212288528
785	0.4212191153
786	0.4212163095
787	0.421202437
788	0.4211886421
789	0.4211540377
790	0.4211395281
791	0.4211178204
792	0.4211020474
793	0.4210849035
794	0.4210814033
795	0.4210550383
796	0.4210427632
797	0.4210277457
798	0.4210164207
799	0.4209898292
800	0.4209647931
801	0.4209543959
802	0.4209330567
803	0.4208976619
804	0.4208848022
805	0.4208725412
806	0.4208506584
807	0.4208411033
808	0.4208203298
809	0.4207989426
810	0.4207765685
811	0.4207596995
812	0.4207461308
813	0.4207194691
814	0.4207039482
815	0.420684297
816	0.4206507455
817	0.4206404206
818	0.4206067385
819	0.420588892
820	0.420568803
821	0.4205509544
822	0.4205372386
823	0.4205262676
824	0.4204951996
825	0.420477849
826	0.4204620305
827	0.4204262789
828	0.4204135502
829	0.4204013344
830	0.4203876616
831	0.4203729996
832	0.4203685603
833	0.4203545393
834	0.4203378838
835	0.4203112228
836	0.4203033034
837	0.4202798348
838	0.4202636973
839	0.4202445508
840	0.4202334958
841	0.4202185903
842	0.4202076783
843	0.4201930695
844	0.4201804382
845	0.4201666277
846	0.420132116
847	0.4201143232
848	0.4201011223
849	0.4200831566
850	0.4200403665
851	0.4200258244
852	0.4200128038
853	0.4199902444
854	0.419983188
855	0.4199640135
856	0.4199427681
857	0.419923457
858	0.4198943295
859	0.4198803817
860	0.419870407
861	0.4198682201
862	0.4198485102
863	0.4198334227
864	0.4198224357
865	0.419822343
866	0.4197918989
867	0.4197744044
868	0.419761409
869	0.4197489576
870	0.4197470845
871	0.4197255059
872	0.4197146619
873	0.4197016317
874	0.4196803983
875	0.4196562273
876	0.41964391
877	0.4196051356
878	0.4195752269
879	0.4195314587
880	0.4195101857
881	0.4194982934
882	0.4194885019
883	0.4194747736
884	0.4194565789
885	0.4194354284
886	0.4194245611
887	0.4194177076
888	0.4194173854
889	0.4194010288
890	0.4193859865
891	0.4193812379
892	0.4193687007
893	0.4193540332
894	0.4193327844
895	0.4193210631
896	0.4193189998
897	0.4193021178
898	0.4192964263
899	0.4192837283
900	0.4192751935
901	0.4192598558
902	0.4192482689
903	0.419232393
904	0.4192156244
905	0.4191916183
906	0.4191760134
907	0.4191555506
908	0.4191394171
909	0.4191248563
910	0.4191038086
911	0.4190902093
912	0.4190751196
913	0.4190541889
914	0.4190333603
915	0.4190142558
916	0.4190009002
917	0.4189873333
918	0.418968491
919	0.4189204374
920	0.4189055265
921	0.4188614776
922	0.4188444096
923	0.4188140012
924	0.4188120331
925	0.4188028057
926	0.4187838488
927	0.4187661083
928	0.4187488347
929	0.4187323158
930	0.4187150667
931	0.4186910056
932	0.4186741012
933	0.4186590418
934	0.4186441366
935	0.4186352014
936	0.4186158807
937	0.4185977384
938	0.4185969979
939	0.4185779103
940	0.418566682
941	0.4185494203
942	0.4185384187
943	0.418526834
944	0.4185089442
945	0.4184840987
946	0.418463934
947	0.4184489418
948	0.4184353908
949	0.4184165932
950	0.4184083855
951	0.4183873225
952	0.4183801942
953	0.4183710094
954	0.4183662875
955	0.4183572683
956	0.4183451504
957	0.4183252844
958	0.418310809
959	0.4182947477
960	0.4182814989
961	0.418262049
962	0.4182499567
963	0.4182268973
964	0.4182163355
965	0.4182160324
966	0.4181957114
967	0.4181689043
968	0.4181589913
969	0.4181333851
970	0.4181199757
971	0.4181074674
972	0.4180927088
973	0.4180591464
974	0.4180449617
975	0.4180311764
976	0.4180164766
977	0.4180010204
978	0.4179857959
979	0.4179723094
980	0.4179545705
981	0.4179276556
982	0.4179113538
983	0.417893196
984	0.4178694484
985	0.4178573317
986	0.4178374396
987	0.4178131407
988	0.4177987849
989	0.4177858423
990	0.4177691751
991	0.4177481094
992	0.417729753
993	0.4177141065
994	0.4176919711
995	0.417672524
996	0.417665459
997	0.4176494118
998	0.4176331599
999	0.4176038262
