,cv_auc_mean,cv_auc_std,cv_acc_mean,cv_acc_std
LogisticRegression,0.7039927260544756,0.006909691271038523,0.6947542096025345,0.0030567427529624657
DecisionTree,0.38189672967364185,0.0029888286698734967,0.48437813480712766,0.003343945324542526
RandomForest,0.5883639059602461,0.005801008417447041,0.4882352556010603,0.004299721020561281
PyTorchMLP,0.769768213895169,0.0038581020911060424,0.696437374315676,0.004218948917117932
XGBoost,0.6895901323004858,0.00580310804645353,0.6057400893061131,0.006419809435840084
LightGBM,0.7355672723358296,0.005235462587482478,0.6593728535140212,0.005081954143726002
CatBoost,0.6961588237706755,0.004999777441032614,0.6117187498078692,0.00419099536402545
