,cv_auc_mean,cv_auc_std,cv_acc_mean,cv_acc_std
LogisticRegression,0.7039927702940089,0.006909689289505973,0.6947542096025345,0.0030567427529624657
DecisionTree,0.38153612115920543,0.0033412899396869688,0.4841501753831981,0.003788686647563203
RandomForest,0.5882942085404336,0.005681804211351848,0.4876742396352009,0.005018041159066955
